ggbn_unitid;ena_specimen_voucher;ggbn_scietific_name;ena_scientific_name;ggbn_country;ena_country;ggbn_collection_date;ena_collection_date;ggbn_collector;ena_collector
TIS-C2725;C2725;Cycnogeton procerum;Cycnogeton procerum;Unknown or unspecified country;;\N;;Conran;
TIS-C2725;C2725;Cycnogeton procerum;Cycnogeton procerum;Unknown or unspecified country;;\N;;Conran;
TIS-C2725;C2725;Cycnogeton procerum;Cycnogeton procerum;Unknown or unspecified country;;\N;;Conran;
TIS-C2725;C2725;Cycnogeton procerum;Cycnogeton procerum;Unknown or unspecified country;;\N;;Conran;
TIS-C2725;C2725;Cycnogeton procerum;Cycnogeton procerum;Unknown or unspecified country;;\N;;Conran;
TIS-C2725;C2725;Cycnogeton procerum;Cycnogeton procerum;Unknown or unspecified country;;\N;;Conran;
TIS-C2373;C2373;Ranalisma humile;Ranalisma humile;Unknown or unspecified country;;\N;;D. Les;
TIS-C2373;C2373;Ranalisma humile;Ranalisma humile;Unknown or unspecified country;;\N;;D. Les;
TIS-C2373;C2373;Ranalisma humile;Ranalisma humile;Unknown or unspecified country;;\N;;D. Les;
TIS-C2373;C2373;Ranalisma humile;Ranalisma humile;Unknown or unspecified country;;\N;;D. Les;
TIS-C2373;C2373;Ranalisma humile;Ranalisma humile;Unknown or unspecified country;;\N;;D. Les;
TIS-C2373;C2373;Ranalisma humile;Ranalisma humile;Unknown or unspecified country;;\N;;D. Les;
TIS-C753;C753;Agave bracteosa;Agave bracteosa;Mexico;;\N;;D. S.Verity;
TIS-C2450;C2450;Symplocarpus foetidus;Symplocarpus foetidus;United States;;\N;;Davis & Davis;
TIS-C2450;C2450;Symplocarpus foetidus;Symplocarpus foetidus;United States;;\N;;Davis & Davis;
TIS-C2450;C2450;Symplocarpus foetidus;Symplocarpus foetidus;United States;;\N;;Davis & Davis;
TIS-C2450;C2450;Symplocarpus foetidus;Symplocarpus foetidus;United States;;\N;;Davis & Davis;
TIS-C2450;C2450;Symplocarpus foetidus;Symplocarpus foetidus;United States;;\N;;Davis & Davis;
