"id";"recordBasis";"kindOfUnit";"preparationType";"preparationDate";"gatheringDate";"collectors";"gatheringLocality";"gatheringCountry";"gatheringISOCountryCode";"gatheringLatitude";"gatheringLongitude";"institutionShort";"institutionFullName";"city";"instCountry";"instLattitude";"instLongitude";"accessionIdentifiers";"guid";"institutioncode";"collectioncode";"unitid";"scientificName";"genus";"species";"family";"order";"class";"phylum";"kingdom"
"28885243";"MaterialSample";"DNA";"gDNA";"2007-08-28T00:00:00";"27.07.2007";"M. Ristow, B. Gemeinholzer & C. Zidorn";"Tirol. Osttirol, Venediger-Gruppe, Timmeltal, NW-Rand """"die Felder"""" ca 0,6 km NW der Bodenalmhütte.";"Austria";"AT";"47,0242";"12,3922";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1112";"B";"DNA Bank";"DB 1112";"Erysimum sylvestre";"Erysimum";"Erysimum sylvestre";"Brassicaceae";"Brassicales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885244";"MaterialSample";"DNA";"gDNA";"2007-08-28T00:00:00";"29.07.2007";"M. Ristow & B. Gemeinholzer";"Tirol. Osttirol, Venediger-Gruppe, N Virgen, E Göriach.";"Austria";"AT";"47,0094";"12,4575";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1131";"B";"DNA Bank";"DB 1131";"Danthonia decumbens";"Danthonia";"Danthonia decumbens";"Poaceae";"Poales";"Liliopsida";"Tracheophyta";"Plantae"
"28885245";"MaterialSample";"DNA";"gDNA";"2007-07-18T00:00:00";"4.7.2007";"T. Dürbye & A. Kirchhoff";"Kärnten. Lienzer Dolomiten, Oberdrauburg, NE Kalser Schutzhütte, S Wiesenspitze, Stadelwiese.";"Austria";"AT";"46,7833";"12,7833";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB875";"B";"DNA Bank";"DB 875";"Crepis aurea";"Crepis";"Crepis aurea";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885246";"MaterialSample";"DNA";"gDNA";"2009-03-06T00:00:00";"20.6.2007";"T. Dürbye";"Berlin-Reinickendorf. Tegeler Fließ, NW Lübars.";"Germany";"DE";"52,6175";"13,3478";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB3742";"B";"DNA Bank";"DB 3742";"Asteraceae";\N;\N;"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885247";"MaterialSample";"DNA";"gDNA";"2007-07-25T00:00:00";"2.7.2007";"T. Dürbye & A. Kirchhoff";"Kärnten. Lienzer Dolomiten, Oberdrauburg, NE Kalser Schutzhütte, zwischen Hochstadelhaus u. Raineck.";"Austria";"AT";"46,7833";"12,7833";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB937";"B";"DNA Bank";"DB 937";"Dianthus";"Dianthus";\N;"Caryophyllaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885248";"MaterialSample";"DNA";"gDNA";"2007-07-25T00:00:00";"2.7.2007";"T. Dürbye & A. Kirchhoff";"Kärnten. Lienzer Dolomiten, Oberdrauburg, NE Kalser Schutzhütte, zwischen Hochstadelhaus u. Raineck.";"Austria";"AT";"46,7833";"12,7833";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB938";"B";"DNA Bank";"DB 938";"Globularia cordifolia";"Globularia";"Globularia cordifolia";"Plantaginaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885249";"MaterialSample";"DNA";"gDNA";"2007-07-25T00:00:00";"2.7.2007";"T. Dürbye & A. Kirchhoff";"Kärnten. Lienzer Dolomiten, Oberdrauburg, NE Kalser Schutzhütte, zwischen Hochstadelhaus u. Raineck.";"Austria";"AT";"46,7833";"12,7833";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB939";"B";"DNA Bank";"DB 939";"Pedicularis rostratocapitata";"Pedicularis";"Pedicularis rostratocapitata";"Orobanchaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885250";"MaterialSample";"DNA";"gDNA";"2007-07-25T00:00:00";"2.7.2007";"T. Dürbye & A. Kirchhoff";"Kärnten. Lienzer Dolomiten, Oberdrauburg, NE Kalser Schutzhütte, zwischen Hochstadelhaus u. Raineck.";"Austria";"AT";"46,7833";"12,7833";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB940";"B";"DNA Bank";"DB 940";"Carduus defloratus defloratus";"Carduus";"Carduus defloratus";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885251";"MaterialSample";"DNA";"gDNA";"2007-07-25T00:00:00";"2.7.2007";"T. Dürbye & A. Kirchhoff";"Kärnten. Lienzer Dolomiten, Oberdrauburg, NE Kalser Schutzhütte, zwischen Hochstadelhaus u. Raineck.";"Austria";"AT";"46,7833";"12,7833";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB943";"B";"DNA Bank";"DB 943";"Veratrum";"Veratrum";\N;"Melanthiaceae";"Liliales";"Liliopsida";"Tracheophyta";"Plantae"
"28885252";"MaterialSample";"DNA";"gDNA";"2007-07-25T00:00:00";"2.7.2007";"T. Dürbye & A. Kirchhoff";"Kärnten. Lienzer Dolomiten, Oberdrauburg, NE Kalser Schutzhütte, zwischen Hochstadelhaus u. Raineck.";"Austria";"AT";"46,7833";"12,7833";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB946";"B";"DNA Bank";"DB 946";"Betonica alopecuros";"Betonica";"Betonica alopecuros";"Lamiaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885253";"MaterialSample";"DNA";"gDNA";"2007-07-25T00:00:00";"1.7.2007";"T. Dürbye & A. Kirchhoff";"Kärnten. Lienzer Dolomiten, Oberdrauburg, NE Kalser Schutzhütte, S Wiesenspitze, Stadelwiese.";"Austria";"AT";"46,7833";"12,7833";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB956";"B";"DNA Bank";"DB 956";"Aster";"Aster";\N;"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885254";"MaterialSample";"DNA";"gDNA";"2009-02-20T00:00:00";"16.8.2008";\N;\N;"France";"FR";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB3578";"B";"DNA Bank";"DB 3578";"Cerinthe";"Cerinthe";\N;"Boraginaceae";"Boraginales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885255";"MaterialSample";"DNA";"gDNA";"2007-11-16T00:00:00";"25.10.2007";"T. Dürbye";"Brandenburg. Kreis Ostprignitz-Ruppin, bei Kremmen, Linumhorst.";"Germany";"DE";"52,7958";"12,9142";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1363";"B";"DNA Bank";"DB 1363";"Lemna minor";"Lemna";"Lemna minor";"Araceae";"Alismatales";"Liliopsida";"Tracheophyta";"Plantae"
"28885256";"MaterialSample";"DNA";"gDNA";"2007-11-16T00:00:00";"23.10.2007";"T. Dürbye";"Niedersachsen. Kreis Verden (Aller), Luttum.";"Germany";"DE";"52,9083";"9,30944";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1372";"B";"DNA Bank";"DB 1372";"Polygonatum multiflorum";"Polygonatum";"Polygonatum multiflorum";"Asparagaceae";"Asparagales";"Liliopsida";"Tracheophyta";"Plantae"
"28885257";"MaterialSample";"DNA";"gDNA";"2007-06-27T00:00:00";"3.6.2007";"T. Dürbye & A. Kirchhoff";"Sachsen-Anhalt. Kreis Lutherstadt Wittenberg, An der neuen Elbe-Brücke (B182).";"Germany";"DE";"51,8514";"12,6453";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB699";"B";"DNA Bank";"DB 699";"Eleocharis palustris";"Eleocharis";"Eleocharis palustris";"Cyperaceae";"Poales";"Liliopsida";"Tracheophyta";"Plantae"
"28885258";"MaterialSample";"DNA";"gDNA";"2007-06-27T00:00:00";"3.6.2007";"T. Dürbye & A. Kirchhoff";"Sachsen-Anhalt. Kreis Lutherstadt Wittenberg, An der neuen Elbe-Brücke (B182).";"Germany";"DE";"51,8514";"12,6453";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB711";"B";"DNA Bank";"DB 711";"Myosotis scorpioides";"Myosotis";"Myosotis scorpioides";"Boraginaceae";"Boraginales";"Magnoliopsida";"Streptophyta";"Viridiplantae"
"28885259";"MaterialSample";"DNA";"gDNA";"2007-06-27T00:00:00";"3.6.2007";"T. Dürbye & A. Kirchhoff";"Sachsen-Anhalt. Kreis Lutherstadt Wittenberg, An der neuen Elbe-Brücke (B182).";"Germany";"DE";"51,8514";"12,6453";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB702";"B";"DNA Bank";"DB 702";"Bolboschoenus maritimus";"Bolboschoenus";"Bolboschoenus maritimus";"Cyperaceae";"Poales";"Liliopsida";"Tracheophyta";"Plantae"
"28885260";"MaterialSample";"DNA";"gDNA";"2009-03-06T00:00:00";"16.6.2007";"T. Dürbye & A. Kirchhoff";"Niedersachsen. Kreis Verden (Aller), S Verden, Luttum.";"Germany";"DE";"52,9081";"9,29861";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB3769";"B";"DNA Bank";"DB 3769";"Centaurea cyanus";"Centaurea";"Centaurea cyanus";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
